1,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
2,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
3,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
4,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
6,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
7,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
8,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
9,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
10,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
11,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
12,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
13,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
14,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
15,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
16,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
17,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
18,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
19,Julian,231.0,312.0,2026-03-31T12:41:59.205130400+03:00[Europe/Moscow],22222,MANAGER,FIRED,Google,1.0,2
23,Elena,267.9,445.1,2026-04-18T16:45:12.789123456+03:00[Europe/Moscow],32000,MANAGER,FIRED,Tesla,1.8,6
24,Hacker_Perfecto,150.0,300.5,2026-04-01T13:03:27.087258400+03:00[Europe/Moscow],75000,ENGINEER,FIRED,Chaos_Corporation,1500000.0,42
